issue_id,case_id,candidate_id,issue_type,severity,message,publication_number,raw_row_number
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e02c48f2dd,case_01_pan_graphitization,case_01_pan_graphitization:lc:e02c48f2dd,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8474696260,CN115881983A,48
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:f9104f6848,case_01_pan_graphitization,case_01_pan_graphitization:lc:f9104f6848,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN115772719B,53
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:af2cce7299,case_01_pan_graphitization,case_01_pan_graphitization:lc:af2cce7299,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:02e7d8e6af,CN117569087B,54
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d8ecea16e2,case_01_pan_graphitization,case_01_pan_graphitization:lc:d8ecea16e2,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:23e369df4f,CN115772719A,62
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:71f8e523d0,case_01_pan_graphitization,case_01_pan_graphitization:lc:71f8e523d0,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:72dba6a9be,CN113981569A,63
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7b80643b17,case_01_pan_graphitization,case_01_pan_graphitization:lc:7b80643b17,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9a372de9b8,CN111304784A,68
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9df96cd38d,case_01_pan_graphitization,case_01_pan_graphitization:lc:9df96cd38d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:41e0ef2aab,CN112080816A,70
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:83b01fb17c,case_01_pan_graphitization,case_01_pan_graphitization:lc:83b01fb17c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ae33f34273,CN108642605A,72
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:867895186e,case_01_pan_graphitization,case_01_pan_graphitization:lc:867895186e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:cc525c295b,US2014265038A1,78
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:839050a2a9,case_01_pan_graphitization,case_01_pan_graphitization:lc:839050a2a9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:3350bb05b6,CN102383224A,80
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ae31f41e03,case_01_pan_graphitization,case_01_pan_graphitization:lc:ae31f41e03,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d019d96ff2,CN101560701A,83
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9fa2b6893b,case_01_pan_graphitization,case_01_pan_graphitization:lc:9fa2b6893b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:98c0172a3a,CN101260575A,84
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:24107f75e7,case_01_pan_graphitization,case_01_pan_graphitization:lc:24107f75e7,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:57df31e9c2,CN117802592A,92
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7c1637ec63,case_01_pan_graphitization,case_01_pan_graphitization:lc:7c1637ec63,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:96d8df5f35,CN116024693A,98
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c4a6ad48a2,case_01_pan_graphitization,case_01_pan_graphitization:lc:c4a6ad48a2,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df01eb7bda,CN116536798A,99
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ba47bc254a,case_01_pan_graphitization,case_01_pan_graphitization:lc:ba47bc254a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:6638af1f26,CN116876115A,100
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:28c1e87642,case_01_pan_graphitization,case_01_pan_graphitization:lc:28c1e87642,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:b2a4e5731c,CN112725940B,104
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e21d761fea,case_01_pan_graphitization,case_01_pan_graphitization:lc:e21d761fea,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:0fc6121a55,CN115404568A,105
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:eec64b6f1d,case_01_pan_graphitization,case_01_pan_graphitization:lc:eec64b6f1d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dc99d8ed08,CN112708968A,109
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:35b60751a1,case_01_pan_graphitization,case_01_pan_graphitization:lc:35b60751a1,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,US10961642B2,110
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:cedd583121,case_01_pan_graphitization,case_01_pan_graphitization:lc:cedd583121,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:1762f3008d,US2021079563A1,112
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:326da9cd9f,case_01_pan_graphitization,case_01_pan_graphitization:lc:326da9cd9f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,US2021198816A1,113
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:93e8dfd58a,case_01_pan_graphitization,case_01_pan_graphitization:lc:93e8dfd58a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8e93d5d294,CN111020750A,114
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9e670ce253,case_01_pan_graphitization,case_01_pan_graphitization:lc:9e670ce253,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:da224d1f3c,CN111118671A,115
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:29321d9cf9,case_01_pan_graphitization,case_01_pan_graphitization:lc:29321d9cf9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:b72bc67576,CN111218733A,116
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:6159975fd6,case_01_pan_graphitization,case_01_pan_graphitization:lc:6159975fd6,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a43e3cba27,CN109402792A,118
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:e5d118b32c,case_01_pan_graphitization,case_01_pan_graphitization:lc:e5d118b32c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:1e06f988ed,CN109853089A,119
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8c6147afdc,case_01_pan_graphitization,case_01_pan_graphitization:lc:8c6147afdc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,US10407802B2,121
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:929b21ddba,case_01_pan_graphitization,case_01_pan_graphitization:lc:929b21ddba,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,US2019382925A1,122
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:514c962d93,case_01_pan_graphitization,case_01_pan_graphitization:lc:514c962d93,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a693513cc7,US2017067185A1,126
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4f68fca519,case_01_pan_graphitization,case_01_pan_graphitization:lc:4f68fca519,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a12dc5c86c,US2017067186A1,127
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:871523c32d,case_01_pan_graphitization,case_01_pan_graphitization:lc:871523c32d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,US2017191194A1,128
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c313536c21,case_01_pan_graphitization,case_01_pan_graphitization:lc:c313536c21,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:817d46e7d1,CN105506785A,129
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:fe74010e64,case_01_pan_graphitization,case_01_pan_graphitization:lc:fe74010e64,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e9a9583aa6,CN103074705A,133
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d0331bef50,case_01_pan_graphitization,case_01_pan_graphitization:lc:d0331bef50,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:db3de01764,CN102505189A,138
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:bd5e83baa4,case_01_pan_graphitization,case_01_pan_graphitization:lc:bd5e83baa4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ce564a199c,CN102733009A,139
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:4bb34f0a0b,case_01_pan_graphitization,case_01_pan_graphitization:lc:4bb34f0a0b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5bd5788cea,US2007132128A1,144
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c827d9101b,case_01_pan_graphitization,case_01_pan_graphitization:lc:c827d9101b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5bd5788cea,US2003230194A1,146
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:6f2eea6a42,case_01_pan_graphitization,case_01_pan_graphitization:lc:6f2eea6a42,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:8c0aff9c4d,CN119465448B,157
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:be5dc6ccf9,case_01_pan_graphitization,case_01_pan_graphitization:lc:be5dc6ccf9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9c065cec75,CN119615421B,159
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c4dccf8cdb,case_01_pan_graphitization,case_01_pan_graphitization:lc:c4dccf8cdb,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df7f8f099d,CN120273066A,163
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:569c6e17ea,case_01_pan_graphitization,case_01_pan_graphitization:lc:569c6e17ea,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:df01eb7bda,CN120945531A,172
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:198d88f4df,case_01_pan_graphitization,case_01_pan_graphitization:lc:198d88f4df,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f9e7fe3bc7,WO2025073230A1,176
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:a58194b6ca,case_01_pan_graphitization,case_01_pan_graphitization:lc:a58194b6ca,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:da0dbfc6ee,CN115613164B,179
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:0c15a868f8,case_01_pan_graphitization,case_01_pan_graphitization:lc:0c15a868f8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:63904c5bce,CN117512816A,182
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:07c586897c,case_01_pan_graphitization,case_01_pan_graphitization:lc:07c586897c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:fb40cd89ec,CN118345554A,186
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:dd8ceb18bb,case_01_pan_graphitization,case_01_pan_graphitization:lc:dd8ceb18bb,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:66267d2087,CN118547508B,188
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:893b9e3801,case_01_pan_graphitization,case_01_pan_graphitization:lc:893b9e3801,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:beb3792d4b,CN118600729B,190
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:30c5c9d6d9,case_01_pan_graphitization,case_01_pan_graphitization:lc:30c5c9d6d9,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:24aea4ac4b,CN118685923B,192
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9a9b2c01e3,case_01_pan_graphitization,case_01_pan_graphitization:lc:9a9b2c01e3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:d290634fb6,CN118970074A,193
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:83077977db,case_01_pan_graphitization,case_01_pan_graphitization:lc:83077977db,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c7fbf82922,EP4367304A1,195
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d5e8375d5f,case_01_pan_graphitization,case_01_pan_graphitization:lc:d5e8375d5f,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dc99d8ed08,CN111560666B,198
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:353a3577c5,case_01_pan_graphitization,case_01_pan_graphitization:lc:353a3577c5,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e548339a15,CN112226851B,199
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5c6922f38e,case_01_pan_graphitization,case_01_pan_graphitization:lc:5c6922f38e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:aa7b7a27d8,CN114481366B,204
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8b9b4a8100,case_01_pan_graphitization,case_01_pan_graphitization:lc:8b9b4a8100,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:6e2d323d0b,CN116949605A,211
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:85886b1ab4,case_01_pan_graphitization,case_01_pan_graphitization:lc:85886b1ab4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:aa7b7a27d8,WO2023093823A1,214
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:bd977b8d52,case_01_pan_graphitization,case_01_pan_graphitization:lc:bd977b8d52,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c7fbf82922,WO2023279169A1,215
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:db703405ff,case_01_pan_graphitization,case_01_pan_graphitization:lc:db703405ff,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:b2a4e5731c,CN111139554B,216
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7c5740d763,case_01_pan_graphitization,case_01_pan_graphitization:lc:7c5740d763,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN113373552B,221
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c8aa38bc35,case_01_pan_graphitization,case_01_pan_graphitization:lc:c8aa38bc35,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:aaae10565f,CN114351294A,225
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:3bf9fa2489,case_01_pan_graphitization,case_01_pan_graphitization:lc:3bf9fa2489,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:205a6699d1,CN115386980A,228
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:96cb8fc567,case_01_pan_graphitization,case_01_pan_graphitization:lc:96cb8fc567,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:94d49bddcc,CN115449925A,229
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8f6e88337a,case_01_pan_graphitization,case_01_pan_graphitization:lc:8f6e88337a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f3d23e333f,US2022220639A1,231
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:aa22f8d3f4,case_01_pan_graphitization,case_01_pan_graphitization:lc:aa22f8d3f4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c114ff2166,CN111575037B,233
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:9f8552a300,case_01_pan_graphitization,case_01_pan_graphitization:lc:9f8552a300,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:e548339a15,CN112226851A,235
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8ddd8b839c,case_01_pan_graphitization,case_01_pan_graphitization:lc:8ddd8b839c,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9038b7c5b5,CN112227057A,236
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8227310dde,case_01_pan_graphitization,case_01_pan_graphitization:lc:8227310dde,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ec2af99b98,CN112670094A,237
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ca5b4218d4,case_01_pan_graphitization,case_01_pan_graphitization:lc:ca5b4218d4,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN113373552A,239
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:014b457f84,case_01_pan_graphitization,case_01_pan_graphitization:lc:014b457f84,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:0737dcbcf1,CN113388921A,240
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7cada55aef,case_01_pan_graphitization,case_01_pan_graphitization:lc:7cada55aef,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:1762f3008d,EP3763856A1,245
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:acad278f9e,case_01_pan_graphitization,case_01_pan_graphitization:lc:acad278f9e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a693513cc7,CN106521716B,246
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:c3acdb1e6e,case_01_pan_graphitization,case_01_pan_graphitization:lc:c3acdb1e6e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ecf43bfa5f,CN111139555A,250
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:769d31c05e,case_01_pan_graphitization,case_01_pan_graphitization:lc:769d31c05e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:262af4871c,CN111286816A,251
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ea19dd4b9a,case_01_pan_graphitization,case_01_pan_graphitization:lc:ea19dd4b9a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:43655deb9d,CN111377533B,253
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1d22ad9dfc,case_01_pan_graphitization,case_01_pan_graphitization:lc:1d22ad9dfc,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:dc99d8ed08,CN111560666A,254
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:b5247f8a04,case_01_pan_graphitization,case_01_pan_graphitization:lc:b5247f8a04,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c114ff2166,CN111575037A,255
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:83f7a9a172,case_01_pan_graphitization,case_01_pan_graphitization:lc:83f7a9a172,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ba1efeef09,CN111662407A,256
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:7e3b0025c8,case_01_pan_graphitization,case_01_pan_graphitization:lc:7e3b0025c8,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:2f356742a2,CN107881600A,268
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:96930889b3,case_01_pan_graphitization,case_01_pan_graphitization:lc:96930889b3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,CN108431310A,270
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:861703c50b,case_01_pan_graphitization,case_01_pan_graphitization:lc:861703c50b,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,EP3397797A1,271
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:ae5728613a,case_01_pan_graphitization,case_01_pan_graphitization:lc:ae5728613a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a693513cc7,CN106521716A,274
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:fd16242355,case_01_pan_graphitization,case_01_pan_graphitization:lc:fd16242355,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:a12dc5c86c,CN106521718A,275
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:5eeb6291f3,case_01_pan_graphitization,case_01_pan_graphitization:lc:5eeb6291f3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:406e2ad779,CN106592019A,276
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8a21745627,case_01_pan_graphitization,case_01_pan_graphitization:lc:8a21745627,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:74eac55b3d,CN107059242A,280
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:44133f532d,case_01_pan_graphitization,case_01_pan_graphitization:lc:44133f532d,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:db4c10f856,CN107419365A,281
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:1d9e36a5d3,case_01_pan_graphitization,case_01_pan_graphitization:lc:1d9e36a5d3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:52e80a928a,WO2017117544A1,282
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:0e1b2d9a11,case_01_pan_graphitization,case_01_pan_graphitization:lc:0e1b2d9a11,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:830da474c0,CN105568432A,287
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:8ecfac29f3,case_01_pan_graphitization,case_01_pan_graphitization:lc:8ecfac29f3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:f8416a0a66,JP2016040419A,291
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:d11f98987a,case_01_pan_graphitization,case_01_pan_graphitization:lc:d11f98987a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:cd82151943,CN103184591B,293
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:b6db367690,case_01_pan_graphitization,case_01_pan_graphitization:lc:b6db367690,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:9a39f017b8,CN104862828A,295
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:aeea50f87a,case_01_pan_graphitization,case_01_pan_graphitization:lc:aeea50f87a,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:5c805eaef0,CN102978747A,300
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:99bce912c3,case_01_pan_graphitization,case_01_pan_graphitization:lc:99bce912c3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:cd82151943,CN103184591A,301
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:cbc3e6c7e3,case_01_pan_graphitization,case_01_pan_graphitization:lc:cbc3e6c7e3,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:c89e344dcc,CN102505188A,302
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:22de9cc768,case_01_pan_graphitization,case_01_pan_graphitization:lc:22de9cc768,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:86dd48aec9,CN101158060A,305
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:924d552c1e,case_01_pan_graphitization,case_01_pan_graphitization:lc:924d552c1e,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:325128e47b,CN116024680B,310
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:bb13011686,case_01_pan_graphitization,case_01_pan_graphitization:lc:bb13011686,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:ae33f34273,CN119843393A,312
case_01_pan_graphitization:dup:case_01_pan_graphitization:lc:234501e510,case_01_pan_graphitization,case_01_pan_graphitization:lc:234501e510,duplicate,info,duplicate_of=case_01_pan_graphitization:lc:74172224c6,CN120989768A,315
