publication_number,application_number,country_code,kind_code,family_id,publication_date,year,title,abstract,assignee,organization,inventors,cpc_codes,url,source_type,bigquery_relevance_score
CN-113981569-B,CN-202111254706-A,CN,B,79742428,20230623,2023,Method for producing graphite fibers by catalytic graphitization,"The invention provides a method for producing graphite fibers by catalytic graphitization, which comprises the following steps: taking polyacrylonitrile-based precursor, and pre-oxidizing in an air atmosphere; carbonizing at low temperature; carbonizing at high temperature; preparing a boron-containing catalyst; immersing the carbonized carbon fiber in a boron-containing catalyst, and drying at 180-200 ℃ for 60-90 s; graphitizing: graphitizing for 20-40 s at the temperature of 2200-2400 ℃ in an argon atmosphere. According to the invention, the hydrogen chloride gas with a certain concentration is introduced into the atmosphere of the carbonization section, so that the carbonization time and temperature can be reduced, and the purity of the fiber can be improved; meanwhile, the graphitized fiber is subjected to graphitization treatment by impregnating the carbonized fiber with the boron compound, so that the graphitization temperature can be reduced, the graphitization time can be shortened, the strength and modulus of the graphite fiber can be improved to a certain extent, an antioxidation coating can be formed by using the boron-containing catalyst, the service life of graphitization equipment can be prolonged, and the running and maintenance cost of the equipment can be reduced.",因达孚先进材料(苏州)有限公司,,,D01F1/10; D01F9/22,https://patents.google.com/patent/CN113981569B/en,patent,27
CN-111621878-A,CN-202010174090-A,CN,A,72269655,20200904,2020,Large-diameter high-strength medium-mode and high-strength high-mode carbon fiber with surface groove structure and preparation method thereof,"The invention relates to a large-diameter polyacrylonitrile-based high-strength medium-modulus and high-strength high-modulus carbon fiber with a surface groove structure and a preparation method thereof. The method comprises the steps of preparing large-diameter precursor by wet spinning, carrying out pre-oxidation treatment in a pre-oxidation gas atmosphere with the volume concentration higher than that of oxygen in air to obtain &#39;homogeneous pre-oxidation fibers&#39; with basically the same radial optical density value, carrying out low-temperature carbonization and high-temperature carbonization to obtain large-diameter high-strength medium-modulus carbon fibers with surface groove structures, wherein the diameters of the large-diameter high-strength medium-modulus carbon fibers are 8.5-10 mu m, the strengths of the large-diameter high-strength medium-modulus carbon fibers are 4.90-6.10 GPa, and the moduli of the large-diameter high-strength medium-modulus carbon fibers are 270-310 GPa, and carrying out high-temperature graphitization treatment for a longer time than conventional treatment to obtain the large-diameter high-strength high-. The improvement of the diameter of the carbon fiber not only improves the collimation of the fiber and improves the wettability of resin in the preparation of the composite material, but also is beneficial to the meshing effect of the carbon fiber and the resin by the surface groove structure, and finally improves the mechanical property of the composite material.",北京化工大学,UNIV BEIJING CHEM TECH,WANG YU; WANG YIWEI; XU LIANGHUA; WANG YUNFENG; GAO AIJUN; LI CHANGQING; TONG YUANJIAN; ZHAO ZHENWEN; CAO WEIYU,C08F220/46; D01F9/22,https://patents.google.com/patent/CN111621878A/en,patent,27
US-2007196648-A1,US-59215805-A,US,A1,34975617,20070823,2007,"Carbon fiber, process for production thereof, prepregs, and golf club shafts","A carbon fiber tow composed of many carbon filaments and having a strand tensile strength of 3.8 to 5.5 GPa, a strand tensile modulus of 180 to 220 GPa and a carbon crystal size (Lc) of 13 to 18 Å. This carbon fiber tow can be produced by subjecting a precursor fiber tow composed of many polyacrylonitrile filaments which have a lightness difference (ΔL) of 50 or below and fineness of 1.1 to 1.7 dtex to oxidative stabilization and subjecting the stabilized fiber tow to carbonization with the maximum temperature within the range of 1,100 to 1,300° C. in an inert atmosphere while raising the temperature from 1,000° C. to the maximum temperature at a temperature rise rate of 100 to 2,000° C./min.",Makoto Endo; Hiroyuki Takiyama; Nobuya Andou,ENDO MAKOTO; TAKIYAMA HIROYUKI; ANDOU NOBUYA,ENDO MAKOTO; TAKIYAMA HIROYUKI; ANDOU NOBUYA,A63B53/10; A63B53/10; D01F9/22; D04H3/00; D01F9/225; D01F6/18; D01F9/225; D04H3/00; A63B53/10,https://patents.google.com/patent/US2007196648A1/en,patent,27
CN-121575520-A,CN-202511837663-A,CN,A,98840988,20260227,2026,Preparation method of large-tow carbon fiber and obtained large-tow carbon fiber,"The invention discloses a preparation method of a large-tow carbon fiber and the obtained large-tow carbon fiber, which comprises the steps of pre-oxidizing a large-tow polyacrylonitrile-based precursor at 180-300 ℃ for 40-80min, wherein 2-4 temperature areas are adopted for pre-oxidation, the cyclizing degree difference of the pre-oxidized fibers in the adjacent temperature areas is controlled to be 10% -25%, the oxygen content difference is controlled to be 0.8% -2%, and the pre-oxidized fibers are subjected to carbonization treatment to prepare the large-tow carbon fiber. In the preoxidation stage of the large-tow polyacrylonitrile-based carbon fiber, a better progressive preoxidation fiber structure is obtained through fine control of a cyclization structure, an oxidation structure and a microcrystalline structure, a good foundation is provided for subsequent carbonization, and meanwhile, small fiber structure difference is beneficial to reducing performance dispersion and improving fiber quality stability. The tensile strength of the prepared large-tow carbon fiber is more than or equal to 5.0GPa, the discrete coefficient in a tensile strength batch is less than or equal to 3%, and the tensile modulus is more than or equal to 240GPa.",中复神鹰碳纤维连云港有限公司,,,D01F9/22,https://patents.google.com/patent/CN121575520A/en,patent,26
CN-121781315-A,CN-202512031867-A,CN,A,97997965,20260403,2026,Large-tow polyacrylonitrile-based carbon fiber and preparation method thereof,"The application relates to a large-tow polyacrylonitrile-based carbon fiber and a preparation method thereof, and belongs to the technical field of carbon fiber production. The preparation method comprises the steps of introducing 2-acrylamide-2-methylpropanesulfonic acid, acrylonitrile, methyl acrylate and itaconic acid to carry out quaternary copolymerization to obtain spinning stock solution, spinning by adopting a dry-jet wet spinning method, controlling the number of spinning holes of a spinneret plate to be less than or equal to 6000, controlling the aperture to be 0.08-0.15 mm, controlling the length-diameter ratio to be (3:1) - (5:1), forming by using a three-stage coagulation bath with gradient concentration of 40-50 wt%, 25-35 wt% and 10-20 wt%, obtaining large-tow precursor with good uniformity and low fuzziness rate, and finally carrying out preoxidation, low-temperature carbonization, high-temperature carbonization and sizing drying to obtain large-tow polyacrylonitrile-based carbon fibers, thereby effectively improving the production efficiency of the large-tow carbon fibers, improving the tensile strength and tensile modulus and reducing the discrete coefficient in batches.",中复神鹰碳纤维股份有限公司,,,,https://patents.google.com/patent/CN121781315A/en,patent,26
CN-121137864-A,CN-202511705647-A,CN,A,97997965,20251216,2025,Large-tow polyacrylonitrile-based carbon fiber and preparation method thereof,"The application relates to a large-tow polyacrylonitrile-based carbon fiber and a preparation method thereof, and belongs to the technical field of carbon fiber production. The preparation method comprises the steps of introducing 2-acrylamide-2-methylpropanesulfonic acid, acrylonitrile, methyl acrylate and itaconic acid to carry out quaternary copolymerization to obtain spinning stock solution, spinning by adopting a dry-jet wet spinning method, controlling the number of spinning holes of a spinneret plate to be less than or equal to 6000, controlling the aperture to be 0.08-0.15 mm, controlling the length-diameter ratio to be (3:1) - (5:1), forming by using a three-stage coagulation bath with gradient concentration of 40-50 wt%, 25-35 wt% and 10-20 wt%, obtaining large-tow precursor with good uniformity and low fuzziness rate, and finally carrying out preoxidation, low-temperature carbonization, high-temperature carbonization and sizing drying to obtain large-tow polyacrylonitrile-based carbon fibers, thereby effectively improving the production efficiency of the large-tow carbon fibers, improving the tensile strength and tensile modulus and reducing the discrete coefficient in batches.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,CHEN QIUFEI; LIU DONG; LI WEI; YANG PING; ZHANG JINYUAN; WANG QINGBO; LIU XIN,,https://patents.google.com/patent/CN121137864A/en,patent,26
CN-117987966-A,CN-202211324043-A,CN,A,90901548,20240507,2024,Preparation method of polyacrylonitrile-based carbon fiber and obtained carbon fiber,"The invention relates to a preparation method of Polyacrylonitrile (PAN) -based carbon fiber and the obtained carbon fiber. Adding a certain amount of ammonium polyphosphate (APP) into a polymerization system for polymerization reaction to obtain spinning solution, preparing PAN precursor by a wet or dry-wet spinning method, and preparing carbon fiber by pre-oxidation and carbonization. The tensile strength of the carbon fiber prepared by the method provided by the invention can reach 5.58GPa under the premise that the fineness is not lower than 0.66dtex, the elastic modulus is more than 260GPa, and the carbon yield is not lower than 53%.",中国石油化工股份有限公司; 中国石油化工股份有限公司上海石油化工研究院,CHINA PETROLEUM & CHEM CORP; SINOPEC SHANGHAI RES INSTF PETROCHEMICAL TECH,MA LEI; SHEN ZHIGANG; XIAO SHIJIE,D01F6/54; D01F1/10; D01F9/22,https://patents.google.com/patent/CN117987966A/en,patent,26
CN-114855306-B,CN-202210538987-A,CN,B,82640059,20230630,2023,Preoxidation method for homogenizing high-strength medium-modulus carbon fiber precursor,"The invention discloses a preoxidation method of a homogenized high-strength medium-modulus carbon fiber precursor. The method preoxidizes polyacrylonitrile precursor at 200-300 ℃, controls the oxygen content in the fiber to increase to 8-11% at a uniform speed with an increasing gradient of 1-3%, and adopts 3-6 partition constant tension control to obtain the homogenized preoxidized fiber. The sheath-core parameters of the pre-oxidized fiber prepared by the method are more than or equal to 50%, the orientation degree is more than or equal to 80%, the tensile strength of the obtained carbon fiber is more than or equal to 5.9Pa after low-temperature carbonization and high-temperature carbonization of the pre-oxidized fiber, the tensile strength discrete coefficient is less than or equal to 5%, the tensile modulus is more than or equal to 295Pa, the tensile modulus discrete coefficient is less than or equal to 2%, the elongation at break is more than or equal to 1.9%, and the pre-oxidized fiber is suitable for the aerospace field.",中复神鹰碳纤维股份有限公司,,,D01F9/22,https://patents.google.com/patent/CN114855306B/en,patent,26
CN-111691011-B,CN-202010646818-A,CN,B,72485445,20221129,2022,Polyacrylonitrile-based carbon fiber and preparation method thereof,"The invention relates to polyacrylonitrile-based carbon fiber and a preparation method thereof, and relates to the technical field of carbon fiber. The polyacrylonitrile-based carbon fiber has tensile strength of 6000-7000 MPa, preferably 6375-7000MPa, tensile modulus of 285-305 GPa, interlaminar shear strength of 110-130 MPa and monofilament diameter of 5-6 μm, preferably 5.45-6 μm. The polyacrylonitrile-based carbon fiber is prepared by using polyacrylonitrile fiber prepared by a wet spinning process as a precursor through optimized steps of pre-oxidation, carbonization, surface treatment and the like. The invention is mainly used for providing or preparing the polyacrylonitrile-based carbon fiber with excellent mechanical property and resin bonding property.",山西钢科碳材料有限公司,,,D01F9/22,https://patents.google.com/patent/CN111691011B/en,patent,26
CN-114059197-A,CN-202111486697-A,CN,A,80228824,20220218,2022,Polyacrylonitrile fiber microwave plasma graphitization method and device,"The invention relates to a microwave plasma graphitization method and a device for polyacrylonitrile fibers, and belongs to the technical field of carbon fiber preparation. Firstly, pre-oxidizing polyacrylonitrile precursor in air atmosphere at the temperature of 240-300 ℃ for 30-50min to obtain pre-oxidized polyacrylonitrile precursor; carrying out microwave carbonization on the preoxidized polyacrylonitrile precursor for 4min at the temperature of 700 ℃ and 1400 ℃ in an inert atmosphere under the microwave condition to obtain carbonized polyacrylonitrile precursor; graphitizing the obtained carbonized polyacrylonitrile protofilament for 1-5min by microwave plasma at the temperature of 1600 ℃ and 2800 ℃ to obtain the polyacrylonitrile fiber with better mechanical property. By adopting the method and the device, the microwave plasma graphitization treatment of the polyacrylonitrile fiber can be completed within 5min, the tensile strength of the prepared carbon fiber can reach 6.52GPa, the tensile modulus can reach 665GPa, and a better technical effect is achieved.",昆明理工大学,UNIV KUNMING SCIENCE & TECHNOLOGY,LIU JIANHUA; ZHAO GUOZHEN; GUO SHENGHUI; XIAO SHIJIE; SHEN ZHIGANG,D01F9/22; D01F9/328,https://patents.google.com/patent/CN114059197A/en,patent,26
CN-114855306-A,CN-202210538987-A,CN,A,82640059,20220805,2022,Pre-oxidation method of homogeneous high-strength medium-modulus carbon fiber precursor,"The invention discloses a preoxidation method of a homogeneous high-strength medium-modulus carbon fiber precursor. The method comprises the steps of pre-oxidizing polyacrylonitrile precursor at 200-300 ℃, controlling the oxygen content in the fiber to increase to 8-11% at a constant speed by increasing the gradient to 1-3%, and obtaining the homogenized pre-oxidized fiber by adopting 3-6 subarea constant tension control. The sheath-core parameter of the pre-oxidized fiber prepared by the method is more than or equal to 50%, the orientation degree is more than or equal to 80%, the carbon fiber obtained after low-temperature carbonization and high-temperature carbonization has the tensile strength of more than or equal to 5.9Pa, the dispersion coefficient of the tensile strength of less than or equal to 5%, the tensile modulus of more than or equal to 295Pa, the dispersion coefficient of the tensile modulus of less than or equal to 2% and the elongation at break of more than or equal to 1.9%, and is suitable for the field of aerospace.",中复神鹰碳纤维股份有限公司,ZHONGFU SHENYING CARBON FIBER CO LTD,ZHANG GUOLIANG; CHEN QIUFEI; WANG CHUNHUA; WANG XIAOXU; LIU JIE,D01F9/22,https://patents.google.com/patent/CN114855306A/en,patent,26
CN-109468712-B,CN-201811244153-A,CN,B,65664379,20210209,2021,High-modulus carbon fiber and method for preparing high-modulus carbon fiber by regulating and controlling thermal stabilization fiber oxygen ring structure,"The invention relates to a high modulus carbon fiber and a method for preparing the high modulus carbon fiber by regulating and controlling a thermal stabilization fiber oxygen ring structure, wherein the method comprises the following steps: (1) performing thermal stabilization treatment on polyacrylonitrile copolymer fibers in an air atmosphere to obtain air thermal stabilization fibers with OC values of 0.31-0.36; (2) carrying out thermal stabilization treatment on the air thermal stabilization fiber in a nitrogen atmosphere to obtain a nitrogen thermal stabilization fiber with an OC value of 0.17-0.23; (3) sequentially carrying out low-temperature carbonization, high-temperature carbonization and graphitization treatment on the nitrogen heat-stabilized fibers to obtain high-modulus carbon fibers, wherein OC (c ═ f) O [ CI ], wherein: f. of O CI is the cyclization index of the thermally stabilized fiber as the mass fraction of elemental oxygen in the thermally stabilized fiber. Therefore, the carbon fiber with the tensile strength of 3815-4882 MPa and the tensile modulus of 503-559 GPa can be prepared by the method.",北京化工大学,,,D01F6/38; D01D10/02; D01D5/06; D01F9/225,https://patents.google.com/patent/CN109468712B/en,patent,26
CN-110552084-B,CN-201910953595-A,CN,B,68742454,20210115,2021,Hollow polyacrylonitrile-based carbon fiber and preparation method thereof,"The invention particularly relates to a hollow polyacrylonitrile-based carbon fiber and a preparation method thereof. The hollow polyacrylonitrile-based carbon fiber has the outer diameter of 10-20 microns, the hollowness of 10-35 percent, the shape factor of 1.00-1.01, the tensile strength of 3.0-4.0Gpa, the tensile modulus of more than 250Gpa and no obvious bonding mark on the surface. The method adopts a binary or ternary polymerization system which takes acrylonitrile as a main monomer and is matched with an arc slit type spinneret plate for dry-jet wet spinning to spin, so that hollow carbon fiber precursor can be obtained, the precursor can be treated by an oxidation carbonization process to prepare the hollow polyacrylonitrile-based carbon fiber, and the precursor and the carbon fiber have smooth surfaces and low section profile. The invention adopts the spinning technology of the dry-jet wet spinning method, the spinning speed is high, and the production efficiency is improved; the surfaces of the precursor and the carbon fiber are smooth and compact, the section profile degree is low, and the performance is excellent; the process is simple and feasible, the dry section can realize high-power drafting in the process of solidification forming, and the fine denier of the fiber diameter is facilitated; the arc-shaped liquid flow is bonded into a hollow structure in the air drying section, and no obvious closed mark exists.",中国科学院山西煤炭化学研究所,,,D01F9/22; D01F11/14,https://patents.google.com/patent/CN110552084B/en,patent,26
